final_position,points_earned,driver_id,race_id,weather_id,date
2,18,1,7763,41,2023-02-24
3,15,1,7765,71,2023-03-03
2,18,1,7766,71,2023-03-03
2,18,1,7767,9,2023-03-04
1,25,1,7768,9,2023-03-04
1,25,1,7772,35,2023-03-17
1,25,1,7773,35,2023-03-17
1,25,1,7774,77,2023-03-18
15,0,1,7775,77,2023-03-18
2,18,1,7779,80,2023-03-19
1,25,1,7780,65,2023-03-31
3,15,1,7781,65,2023-03-31
1,25,1,7782,15,2023-04-01
1,25,1,7783,15,2023-04-01
1,25,1,7787,27,2023-04-02
1,25,1,7953,46,2023-03-05
1,25,1,9063,34,2023-04-28
2,18,1,9064,34,2023-04-28
3,15,1,9069,10,2023-04-29
2,18,1,9070,61,2023-04-30
4,12,1,9071,58,2023-05-05
1,25,1,9072,58,2023-05-05
1,25,1,9073,49,2023-05-06
9,2,1,9074,49,2023-05-06
1,25,1,9078,72,2023-05-07
6,8,1,9087,39,2023-05-26
1,25,1,9088,39,2023-05-26
1,25,1,9089,24,2023-05-27
1,25,1,9090,24,2023-05-27
1,25,1,9094,83,2023-05-28
1,25,1,9095,47,2023-06-02
1,25,1,9096,47,2023-06-02
1,25,1,9097,43,2023-06-03
1,25,1,9098,43,2023-06-03
1,25,1,9102,30,2023-06-04
5,10,1,9103,40,2023-06-16
6,8,1,9104,40,2023-06-16
1,25,1,9105,55,2023-06-17
1,25,1,9106,55,2023-06-17
1,25,1,9110,1,2023-06-18
1,25,1,9112,21,2023-06-30
1,25,1,9117,63,2023-07-01
1,25,1,9118,29,2023-07-02
1,25,1,9119,18,2023-07-07
1,25,1,9120,18,2023-07-07
8,4,1,9121,56,2023-07-08
1,25,1,9122,56,2023-07-08
1,25,1,9126,45,2023-07-09
11,0,1,9127,69,2023-07-21
2,18,1,9128,20,2023-07-22
2,18,1,9129,20,2023-07-22
1,25,1,9133,82,2023-07-23
20,0,1,9134,32,2023-07-28
1,25,1,9135,32,2023-07-28
1,25,1,9140,4,2023-07-29
1,25,1,9141,67,2023-07-30
1,25,1,9142,38,2023-08-25
2,18,1,9143,38,2023-08-25
1,25,1,9144,64,2023-08-26
1,25,1,9145,64,2023-08-26
1,25,1,9149,44,2023-08-27
1,25,1,9150,19,2023-09-01
5,10,1,9151,19,2023-09-01
2,18,1,9152,51,2023-09-02
2,18,1,9153,51,2023-09-02
1,25,1,9157,6,2023-09-03
3,15,1,9158,33,2023-09-15
8,4,1,9159,33,2023-09-15
4,12,1,9160,70,2023-09-16
11,0,1,9161,70,2023-09-16
5,10,1,9165,16,2023-09-17
1,25,1,9166,37,2023-09-22
1,25,1,9167,37,2023-09-22
1,25,1,9168,52,2023-09-23
1,25,1,9169,52,2023-09-23
1,25,1,9173,68,2023-09-24
1,25,1,9174,48,2023-10-27
1,25,1,9175,48,2023-10-27
1,25,1,9176,81,2023-10-28
3,15,1,9177,81,2023-10-28
1,25,1,9181,12,2023-10-29
4,12,1,9182,5,2023-11-17
6,8,1,9183,5,2023-11-17
4,12,1,9184,7,2023-11-18
1,25,1,9189,25,2023-11-19
3,15,1,9191,8,2023-11-24
6,8,1,9192,3,2023-11-25
1,25,1,9193,3,2023-11-25
1,25,1,9197,31,2023-11-26
16,0,1,9198,60,2023-11-03
1,25,1,9204,11,2023-11-04
1,25,1,9205,14,2023-11-05
1,25,1,9206,73,2023-10-20
6,8,1,9207,73,2023-10-20
1,25,1,9212,66,2023-10-21
1,25,1,9213,79,2023-10-22
6,8,1,9214,17,2023-10-06
1,25,1,9215,17,2023-10-06
2,18,1,9220,78,2023-10-07
1,25,1,9221,28,2023-10-08
1,25,1,9222,74,2023-02-23
19,0,1,9223,69,2023-07-21
3,15,1,9278,10,2023-04-29
1,25,1,9282,63,2023-07-01
1,25,1,9286,4,2023-07-29
1,25,1,9294,66,2023-10-21
3,15,1,9298,78,2023-10-07
1,25,1,9304,60,2023-11-03
2,18,1,9308,11,2023-11-04
3,15,1,9314,7,2023-11-18
6,8,1,9465,23,2024-02-29
3,15,1,9466,59,2024-03-01
3,15,1,9467,59,2024-03-01
1,25,1,9468,59,2024-03-01
1,25,1,9472,50,2024-03-02
3,15,1,9473,62,2024-03-07
3,15,1,9474,62,2024-03-07
1,25,1,9475,22,2024-03-08
1,25,1,9476,22,2024-03-08
1,25,1,9480,53,2024-03-09
2,18,1,9481,76,2024-03-22
2,18,1,9482,76,2024-03-22
2,18,1,9483,42,2024-03-23
1,25,1,9484,42,2024-03-23
19,0,1,9488,54,2024-03-24
1,25,1,9489,75,2024-04-05
14,0,1,9490,75,2024-04-05
1,25,1,9491,13,2024-04-06
1,25,1,9492,13,2024-04-06
1,25,1,9496,26,2024-04-07
1,25,1,9497,-1,2024-05-03
1,25,1,9502,-1,2024-05-03
3,15,1,9663,36,2024-04-19
1,25,1,9664,2,2024-04-20
4,12,1,9668,36,2024-04-19
1,25,1,9672,2,2024-04-20
1,25,1,9673,57,2024-04-21
7,6,2,7763,41,2023-02-24
18,0,2,7765,71,2023-03-03
20,0,2,7766,71,2023-03-03
18,0,2,7767,9,2023-03-04
16,0,2,7768,9,2023-03-04
17,0,2,7772,35,2023-03-17
18,0,2,7773,35,2023-03-17
16,0,2,7774,77,2023-03-18
20,0,2,7775,77,2023-03-18
16,0,2,7779,80,2023-03-19
15,0,2,7780,65,2023-03-31
20,0,2,7781,65,2023-03-31
17,0,2,7782,15,2023-04-01
18,0,2,7783,15,2023-04-01
16,0,2,7787,27,2023-04-02
12,0,2,7953,46,2023-03-05
16,0,2,9063,34,2023-04-28
15,0,2,9064,34,2023-04-28
16,0,2,9070,61,2023-04-30
19,0,2,9071,58,2023-05-05
20,0,2,9072,58,2023-05-05
17,0,2,9073,49,2023-05-06
20,0,2,9074,49,2023-05-06
20,0,2,9078,72,2023-05-07
18,0,2,9087,39,2023-05-26
20,0,2,9088,39,2023-05-26
17,0,2,9089,24,2023-05-27
16,0,2,9090,24,2023-05-27
18,0,2,9094,83,2023-05-28
19,0,2,9095,47,2023-06-02
20,0,2,9096,47,2023-06-02
20,0,2,9097,43,2023-06-03
20,0,2,9098,43,2023-06-03
20,0,2,9102,30,2023-06-04
17,0,2,9103,40,2023-06-16
19,0,2,9104,40,2023-06-16
20,0,2,9105,55,2023-06-17
19,0,2,9106,55,2023-06-17
20,0,2,9110,1,2023-06-18
18,0,2,9112,21,2023-06-30
18,0,2,9117,63,2023-07-01
13,0,2,9118,29,2023-07-02
17,0,2,9119,18,2023-07-07
5,10,2,9120,18,2023-07-07
7,6,2,9121,56,2023-07-08
14,0,2,9122,56,2023-07-08
11,0,2,9126,45,2023-07-09
17,0,2,9127,69,2023-07-21
17,0,2,9128,20,2023-07-22
20,0,2,9129,20,2023-07-22
18,0,2,9133,82,2023-07-23
16,0,2,9134,32,2023-07-28
18,0,2,9135,32,2023-07-28
16,0,2,9140,4,2023-07-29
17,0,2,9141,67,2023-07-30
7,6,2,9142,38,2023-08-25
12,0,2,9143,38,2023-08-25
14,0,2,9144,64,2023-08-26
10,1,2,9145,64,2023-08-26
20,0,2,9149,44,2023-08-27
12,0,2,9150,19,2023-09-01
16,0,2,9151,19,2023-09-01
15,0,2,9152,51,2023-09-02
15,0,2,9153,51,2023-09-02
13,0,2,9157,6,2023-09-03
20,0,2,9158,33,2023-09-15
19,0,2,9159,33,2023-09-15
20,0,2,9160,70,2023-09-16
18,0,2,9161,70,2023-09-16
14,0,2,9165,16,2023-09-17
19,0,2,9166,37,2023-09-22
20,0,2,9167,37,2023-09-22
16,0,2,9168,52,2023-09-23
20,0,2,9169,52,2023-09-23
17,0,2,9173,68,2023-09-24
14,0,2,9174,48,2023-10-27
17,0,2,9175,48,2023-10-27
11,0,2,9176,81,2023-10-28
20,0,2,9177,81,2023-10-28
16,0,2,9181,12,2023-10-29
20,0,2,9182,5,2023-11-17
20,0,2,9183,5,2023-11-17
3,15,2,9184,7,2023-11-18
16,0,2,9189,25,2023-11-19
11,0,2,9190,8,2023-11-24
18,0,2,9191,8,2023-11-24
8,4,2,9192,3,2023-11-25
20,0,2,9193,3,2023-11-25
16,0,2,9197,31,2023-11-26
9,2,2,9198,60,2023-11-03
20,0,2,9204,11,2023-11-04
11,0,2,9205,14,2023-11-05
11,0,2,9206,73,2023-10-20
20,0,2,9207,73,2023-10-20
19,0,2,9212,66,2023-10-21
12,0,2,9213,79,2023-10-22
16,0,2,9214,17,2023-10-06
16,0,2,9215,17,2023-10-06
19,0,2,9220,78,2023-10-07
18,0,2,9221,28,2023-10-08
10,1,2,9222,74,2023-02-23
9,2,2,9223,69,2023-07-21
15,0,2,9278,10,2023-04-29
20,0,2,9282,63,2023-07-01
13,0,2,9286,4,2023-07-29
20,0,2,9294,66,2023-10-21
20,0,2,9298,78,2023-10-07
19,0,2,9304,60,2023-11-03
20,0,2,9308,11,2023-11-04
7,6,2,9314,7,2023-11-18
16,0,2,9465,23,2024-02-29
17,0,2,9466,59,2024-03-01
19,0,2,9467,59,2024-03-01
18,0,2,9468,59,2024-03-01
20,0,2,9472,50,2024-03-02
15,0,2,9473,62,2024-03-07
16,0,2,9474,62,2024-03-07
20,0,2,9475,22,2024-03-08
19,0,2,9476,22,2024-03-08
15,0,2,9480,53,2024-03-09
13,0,2,9481,76,2024-03-22
13,0,2,9482,76,2024-03-22
20,0,2,9489,75,2024-04-05
15,0,2,9490,75,2024-04-05
19,0,2,9491,13,2024-04-06
19,0,2,9492,13,2024-04-06
17,0,2,9496,26,2024-04-07
18,0,2,9497,-1,2024-05-03
19,0,2,9502,-1,2024-05-03
15,0,2,9663,36,2024-04-19
20,0,2,9664,2,2024-04-20
20,0,2,9668,36,2024-04-19
18,0,2,9672,2,2024-04-20
17,0,2,9673,57,2024-04-21
14,0,3,9127,69,2023-07-21
18,0,3,9128,20,2023-07-22
13,0,3,9129,20,2023-07-22
13,0,3,9133,82,2023-07-23
9,2,3,9134,32,2023-07-28
19,0,3,9135,32,2023-07-28
10,1,3,9140,4,2023-07-29
16,0,3,9141,67,2023-07-30
13,0,3,9142,38,2023-08-25
20,0,3,9143,38,2023-08-25
8,4,3,9174,48,2023-10-27
6,8,3,9175,48,2023-10-27
9,2,3,9176,81,2023-10-28
4,12,3,9177,81,2023-10-28
7,6,3,9181,12,2023-10-29
13,0,3,9182,5,2023-11-17
19,0,3,9183,5,2023-11-17
20,0,3,9184,7,2023-11-18
14,0,3,9189,25,2023-11-19
3,15,3,9190,8,2023-11-24
12,0,3,9191,8,2023-11-24
18,0,3,9192,3,2023-11-25
15,0,3,9193,3,2023-11-25
11,0,3,9197,31,2023-11-26
14,0,3,9198,60,2023-11-03
9,2,3,9204,11,2023-11-04
13,0,3,9205,14,2023-11-05
14,0,3,9206,73,2023-10-20
15,0,3,9207,73,2023-10-20
12,0,3,9212,66,2023-10-21
17,0,3,9213,79,2023-10-22
14,0,3,9223,69,2023-07-21
11,0,3,9286,4,2023-07-29
11,0,3,9294,66,2023-10-21
17,0,3,9304,60,2023-11-03
8,4,3,9308,11,2023-11-04
15,0,3,9314,7,2023-11-18
1,25,3,9465,23,2024-02-29
11,0,3,9466,59,2024-03-01
11,0,3,9467,59,2024-03-01
14,0,3,9468,59,2024-03-01
13,0,3,9472,50,2024-03-02
19,0,3,9473,62,2024-03-07
19,0,3,9474,62,2024-03-07
16,0,3,9475,22,2024-03-08
14,0,3,9476,22,2024-03-08
16,0,3,9480,53,2024-03-09
12,0,3,9481,76,2024-03-22
12,0,3,9482,76,2024-03-22
18,0,3,9483,42,2024-03-23
18,0,3,9484,42,2024-03-23
12,0,3,9488,54,2024-03-24
5,10,3,9490,75,2024-04-05
13,0,3,9491,13,2024-04-06
11,0,3,9492,13,2024-04-06
19,0,3,9496,26,2024-04-07
11,0,3,9497,-1,2024-05-03
4,12,3,9502,-1,2024-05-03
9,2,3,9663,36,2024-04-19
12,0,3,9664,2,2024-04-20
14,0,3,9668,36,2024-04-19
11,0,3,9672,2,2024-04-20
18,0,3,9673,57,2024-04-21
16,0,4,7763,41,2023-02-24
11,0,4,7764,0,2023-02-25
4,12,4,7765,71,2023-03-03
9,2,4,7766,71,2023-03-03
13,0,4,7767,9,2023-03-04
11,0,4,7768,9,2023-03-04
20,0,4,7772,35,2023-03-17
12,0,4,7773,35,2023-03-17
7,6,4,7774,77,2023-03-18
19,0,4,7775,77,2023-03-18
17,0,4,7779,80,2023-03-19
7,6,4,7780,65,2023-03-31
8,4,4,7781,65,2023-03-31
20,0,4,7782,15,2023-04-01
13,0,4,7783,15,2023-04-01
6,8,4,7787,27,2023-04-02
17,0,4,7953,46,2023-03-05
5,10,4,9063,34,2023-04-28
7,6,4,9064,34,2023-04-28
17,0,4,9069,10,2023-04-29
9,2,4,9070,61,2023-04-30
16,0,4,9071,58,2023-05-05
6,8,4,9072,58,2023-05-05
19,0,4,9073,49,2023-05-06
16,0,4,9074,49,2023-05-06
17,0,4,9078,72,2023-05-07
7,6,4,9087,39,2023-05-26
5,10,4,9088,39,2023-05-26
5,10,4,9089,24,2023-05-27
10,1,4,9090,24,2023-05-27
9,2,4,9094,83,2023-05-28
11,0,4,9095,47,2023-06-02
14,0,4,9096,47,2023-06-02
10,1,4,9097,43,2023-06-03
3,15,4,9098,43,2023-06-03
17,0,4,9102,30,2023-06-04
14,0,4,9103,40,2023-06-16
13,0,4,9104,40,2023-06-16
13,0,4,9105,55,2023-06-17
7,6,4,9106,55,2023-06-17
13,0,4,9110,1,2023-06-18
4,12,4,9112,21,2023-06-30
9,2,4,9117,63,2023-07-01
5,10,4,9118,29,2023-07-02
8,4,4,9119,18,2023-07-07
14,0,4,9120,18,2023-07-07
12,0,4,9121,56,2023-07-08
2,18,4,9122,56,2023-07-08
2,18,4,9126,45,2023-07-09
2,18,4,9127,69,2023-07-21
5,10,4,9128,20,2023-07-22
3,15,4,9129,20,2023-07-22
2,18,4,9133,82,2023-07-23
3,15,4,9134,32,2023-07-28
7,6,4,9135,32,2023-07-28
6,8,4,9140,4,2023-07-29
7,6,4,9141,67,2023-07-30
6,8,4,9142,38,2023-08-25
1,25,4,9143,38,2023-08-25
10,1,4,9144,64,2023-08-26
2,18,4,9145,64,2023-08-26
7,6,4,9149,44,2023-08-27
7,6,4,9150,19,2023-09-01
2,18,4,9151,19,2023-09-01
17,0,4,9152,51,2023-09-02
9,2,4,9153,51,2023-09-02
8,4,4,9157,6,2023-09-03
4,12,4,9158,33,2023-09-15
6,8,4,9159,33,2023-09-15
3,15,4,9160,70,2023-09-16
4,12,4,9161,70,2023-09-16
2,18,4,9165,16,2023-09-17
3,15,4,9166,37,2023-09-22
3,15,4,9167,37,2023-09-22
2,18,4,9168,52,2023-09-23
3,15,4,9169,52,2023-09-23
2,18,4,9173,68,2023-09-24
4,12,4,9174,48,2023-10-27
2,18,4,9175,48,2023-10-27
8,4,4,9176,81,2023-10-28
19,0,4,9177,81,2023-10-28
5,10,4,9181,12,2023-10-29
15,0,4,9182,5,2023-11-17
11,0,4,9183,5,2023-11-17
11,0,4,9184,7,2023-11-18
20,0,4,9189,25,2023-11-19
2,18,4,9191,8,2023-11-24
2,18,4,9192,3,2023-11-25
5,10,4,9193,3,2023-11-25
5,10,4,9197,31,2023-11-26
19,0,4,9198,60,2023-11-03
2,18,4,9204,11,2023-11-04
2,18,4,9205,14,2023-11-05
15,0,4,9206,73,2023-10-20
2,18,4,9207,73,2023-10-20
4,12,4,9212,66,2023-10-21
