stint_id,stint_number,compound,tyre_age_at_start,lap_start,lap_end,race_id,driver_id
0,1,MEDIUM,7.0,1,1,7763,4
1,1,MEDIUM,10.0,1,1,7763,20
2,1,SOFT,15.0,1,2,7763,2
3,1,MEDIUM,0.0,1,2,7763,14
4,1,MEDIUM,10.0,1,2,7763,24
5,1,TEST_UNKNOWN,0.0,1,3,7763,11
6,1,MEDIUM,0.0,1,3,7763,16
7,1,MEDIUM,12.0,1,3,7763,22
8,1,MEDIUM,11.0,1,3,7763,63
9,1,MEDIUM,5.0,1,4,7763,31
10,1,MEDIUM,0.0,1,4,7763,81
11,1,TEST_UNKNOWN,11.0,1,5,7763,55
12,1,TEST_UNKNOWN,0.0,1,6,7763,1
13,1,MEDIUM,8.0,1,6,7763,21
14,1,MEDIUM,6.0,1,6,7763,44
15,1,MEDIUM,0.0,1,7,7763,10
16,1,MEDIUM,0.0,1,7,7763,27
17,2,MEDIUM,8.0,2,2,7763,4
18,2,MEDIUM,0.0,2,8,7763,20
19,3,MEDIUM,9.0,3,3,7763,4
20,2,SOFT,7.0,3,4,7763,2
21,2,MEDIUM,0.0,3,4,7763,14
22,2,MEDIUM,12.0,3,4,7763,24
23,4,MEDIUM,0.0,4,5,7763,4
24,2,MEDIUM,0.0,4,5,7763,16
25,2,TEST_UNKNOWN,3.0,4,6,7763,11
26,2,MEDIUM,15.0,4,6,7763,22
27,2,MEDIUM,14.0,4,6,7763,63
28,3,SOFT,0.0,5,6,7763,2
29,2,MEDIUM,9.0,5,7,7763,31
30,3,MEDIUM,8.0,5,8,7763,14
31,3,MEDIUM,9.0,5,11,7763,24
32,2,MEDIUM,0.0,5,13,7763,81
33,2,MEDIUM,10.0,6,8,7763,55
34,3,MEDIUM,0.0,6,9,7763,16
35,5,MEDIUM,0.0,6,14,7763,4
36,4,SOFT,17.0,7,8,7763,2
37,2,MEDIUM,0.0,7,9,7763,1
38,3,TEST_UNKNOWN,6.0,7,9,7763,11
39,3,MEDIUM,18.0,7,9,7763,22
40,2,MEDIUM,12.0,7,11,7763,44
41,3,MEDIUM,0.0,7,11,7763,63
42,2,MEDIUM,0.0,7,21,7763,21
43,2,MEDIUM,7.0,8,8,7763,10
44,2,MEDIUM,0.0,8,14,7763,27
45,3,MEDIUM,0.0,8,14,7763,31
46,3,MEDIUM,0.0,9,10,7763,55
47,4,MEDIUM,12.0,9,12,7763,14
48,3,TEST_UNKNOWN,0.0,9,13,7763,10
49,5,MEDIUM,0.0,9,15,7763,2
50,3,MEDIUM,0.0,9,15,7763,20
51,4,MEDIUM,0.0,10,10,7763,22
52,3,MEDIUM,0.0,10,12,7763,1
53,4,MEDIUM,0.0,10,12,7763,16
54,4,TEST_UNKNOWN,9.0,10,16,7763,11
55,4,MEDIUM,0.0,11,16,7763,55
56,5,MEDIUM,0.0,11,27,7763,22
57,4,MEDIUM,16.0,12,12,7763,24
58,4,HARD,0.0,12,14,7763,63
59,3,MEDIUM,17.0,12,16,7763,44
60,5,MEDIUM,3.0,13,14,7763,16
61,4,MEDIUM,0.0,13,15,7763,1
62,5,MEDIUM,0.0,13,19,7763,14
63,5,MEDIUM,0.0,13,21,7763,24
64,4,TEST_UNKNOWN,5.0,14,14,7763,10
65,3,MEDIUM,0.0,14,22,7763,81
66,4,MEDIUM,0.0,15,17,7763,31
67,5,MEDIUM,0.0,15,17,7763,63
68,6,MEDIUM,0.0,15,18,7763,16
69,5,MEDIUM,0.0,15,19,7763,10
70,3,SOFT,0.0,15,19,7763,27
71,6,MEDIUM,0.0,15,23,7763,4
72,5,MEDIUM,3.0,16,18,7763,1
73,6,MEDIUM,0.0,16,22,7763,2
74,4,MEDIUM,0.0,16,23,7763,20
75,5,TEST_UNKNOWN,16.0,17,17,7763,11
76,4,TEST_UNKNOWN,0.0,17,21,7763,44
77,5,MEDIUM,0.0,17,21,7763,55
78,6,MEDIUM,0.0,18,18,7763,11
79,6,MEDIUM,0.0,18,20,7763,63
80,5,MEDIUM,0.0,18,22,7763,31
81,7,MEDIUM,0.0,19,22,7763,16
82,6,MEDIUM,0.0,19,30,7763,1
83,7,MEDIUM,1.0,19,33,7763,11
84,6,MEDIUM,5.0,20,20,7763,10
85,6,MEDIUM,0.0,20,24,7763,14
86,4,SOFT,0.0,20,24,7763,27
87,7,MEDIUM,3.0,21,21,7763,63
88,7,MEDIUM,0.0,21,25,7763,10
